awajun	10
chicham	1703
pachisa	303
autamu	3
tujash	1705
nunikmatai	346
nuniaitak	1
nunin	600
numamtin	103
jaisufijo	1
antsag	148
atak	76
ajumai	1
nuniai	148
nunui	25
ajum	11
imau	15
wajuti	9
wi	2099
pujajai	75
wii	9
pujuyajai	12
pujutnaitjai	4
ame	1259
pujame	21
pujuyume	2
pujutnaitme	4
nii	891
pujuyi	1
pujutnai	5
juwi	485
imajui	12
aní	11
awi	86
atu	1
tikiju	53
atushat	88
waya	72
nugkan	197
awantak	17
wakentin	18
uyai	7
nejek	6
wajawai	23
manchu	9
uchin	139
bukunui	1
mina	2605
jegajui	16
makichik	1389
kawau	2
eketui	9
apag	142
pain	1
aujui	2
aagku	7
pujawai	118
yatsug	203
agkeasa	1
najaname	3
janchug	1
ajutuch	1
ajutui	51
sentan	5
akachumui	3
atash	59
shinawai	12
etsa	248
tajimai	6
dapi	48
esaime	2
yawajun	1
jempe	8
waiwash	1
duse	5
butiya	1
ujik	3
bakau	2
uje	17
eep	1
papag	1
achu	7
anentai	107
dapa	21
kuju	1
aug	1
yagkug	28
yawa	47
yaya	66
áu	7
ikamyawa	13
ijutup	1
numi	303
kugku	3
papaí	2
takum	4
nuwa	672
akiítai	2
bíik	3
ayum	6
waga	6
aagkeas	2
pau	3
agatai	4
uchi	573
amich	7
bashu	3
japa	15
chigkim	6
japacham	1
kukuch	3
tatasham	4
wampishuk	2
yusa	8
yugkipak	2
tseem	1
shimpa	1
suakaraip	3
kantash	2
meje	2
jimajan	26
ch	1
ich	1
au	147
w	1
aitjai	1
jimag	269
chichaman	451
chichauwaitjai	4
shiig	3950
ememasan	5
juwajai	4
buukjui	3
anentaijuishkam	1
chchaman	1
chichauwaitag	1
nuna	5263
uwasai	1
tuwi	104
wekaeja	4
nuwish	57
ugmamtsujai	1
tikish	94
aents	6222
aidaujaish	60
betekaitjai	5
datsamamush	1
atsugtawai	25
wakegamu	70
majanuwa	1
ibauk	14
yacha	220
chichau	63
datsaush	2
aidau	5366
dekas	1511
juu	38
nunkanum	1
iwainaktajum	4
ibau	89
majanu	8
chichijam	9
minakuish	8
wainchi	4
kaya	269
inkuakmesh	1
muja	236
nainnumash	1
ibaunmash	2
amek	494
tuke	3265
depetmaktatme	2
ju	487
tiinu	1
ay	1
amk	1
ega	1
tinu	32
itme	1
jutiinu	8
ayamkega	4
agkanmaegamu	1
utugchatash	5
atsuti	10
tusam	167
akiinauwaitme	2
antumtikagtuktasam	1
senchigmijai	11
ayamkajui	1
maanitkum	1
jutiinuh	2
wajiugmejai	1
yaijatnaiutme	1
chichamjumig	1
depétamainchau	1
ainawai	1311
tikichik	65
atsumjamkug	1
kautjamachagtinai	1
jutiinun	2
ayamkajuin	1
chichamkagtajai	1
tusajag	10
ii	396
umiktin	391
umikmauwa	3
diyamshakam	1
jinta	107
tuké	121
ainmainaji	1
uminkatna	5
nunú	4289
pataetusa	1
emamshakam	1
atakesh	20
túke	7
sakagchatnai	1
imanuk	75
áagmi	1
tikich	1935
atsumkagtak	1
miniagtata	4
nunuishkam	1
jutinuitme	1
panamazoníak	1
initik	9
nagkamnas	16
nugka	1023
najaneauwai	5
tuja	3690
batsamin	315
aidaushkam	528
nuwi	1476
batsatkau	193
tsukin	2
batsatainau	1
ajanum	58
takau	283
aidauti	83
wajuk	771
pujut	135
awa	362
nunu	1278
wainkaja	9
anentaimtau	2
aidautishkam	5
nugkentin	39
asaja	124
ajantunika	2
ikamia	67
aidautik	99
ijunja	114
batsatmau	4
ashi	332
waji	359
antimain	1
aina	3341
nuwigkichu	1
antsuk	1
wakannumash	3
unuimat	25
nuwigtu	470
wajinum	4
takatai	97
ainawa	228
nuwishkam	48
juka	470
yaunchuk	397
nagkamsa	35
maanitmau	1
ajantia	8
pachiachmau	20
kauna	15
utsanawaju	4
kasa	29
anentaintin	3
wajinash	1
atagki	2
sujin	25
kaunamunum	1
nagkamas	218
juju	1087
maamitmauwa	1
juniawai	7
wiyakush	4
kuwashat	126
waigka	5
wegamunum	20
tajimtametash	1
wajig	31
ayawa	8
amuka	7
sujimka	1
nuwigtush	63
tupandaika	2
kaunawaju	6
chichama	203
umikag	39
takainak	76
tikichnak	20
nunikchamin	2
emakuita	1
juni	86
takasa	49
emamua	4
amainai	249
tusa	4663
apujin	62
nujai	546
ijumnag	3
ayamke	111
aidaun	2482
takamainchau	15
emainawai	8
mamiksag	12
ati	333
jetemjuka	1
ayamjukmau	3
iman	426
aig	154
ikam	94
juti	205
nugke	113
chichamjuka	11
ayamju	1
batsamnawai	1
asamtai	1454
uweja	24
amua	33
juinia	10
ipak	67
usumat	37
macapá	1
juwaki	35
tarapoto	1
–perú	1
umá	1
yatsut	35
aidaujai	1010
aentsjijai	4
untsumamunum	1
kaunaji	3
viii	3
foro	3
social	12
panamazónico	2
ipaamamtai	1
wiyakuch	51
emaktasa	1
anentaimtusa	43
takamua	15
yamaya	37
juwik	32
wantinui	31
takamain	68
yajumku	3
“samekmauwai	2
tajimtameamu”	2
tawa	444
duwi	968
jutikag	4
chichamnak	23
jintiajajui	1
nugkenia	5
apuji	856
dutikatajum	48
atukam	2
nuniak	230
umiktajai	13
aentsu	102
nugkajai	23
pachis	344
timauwa	15
nunak	1936
yajupea	2
idayainak	1
aidaunash	204
dutiksaik	54
agkan	290
ajakma	18
yutan	4
tsawan	811
yapajinak	4
ayamjumamainchau	13
wegamun	6
nuniam	5
puyatjumain	3
wegawai	51
batsata	222
pujuti	10
aidaunmashkam	11
juniamunum	3
ditak	422
tumamtinme	1
timau	20
aidaush	515
imatiksa	9
nuni	217
tamau	16
atsawai	244
aan	164
ebestuka	1
emamuk	2
awai	262
junak	209
nunik	1201
minawai	48
eemtika	8
ujaka	26
chichantsatin	1
emaku	14
apusa	15
emam	14
batsamnu	18
ajantusa	29
ematin	18
dekana	4
ebesnagchati	1
chichamjukmau	2
chichasa	33
antugdaikatin	3
umiktinun	157
